account,full_name,title,domain,where
Carelon,Amy Potter,International Business Operations Director,carelon.com,map
Elevance Health,Felicia Norwood,Executive Vice President & Chief Health Benefits Officer,elevancehealth.com,map
Elevance Health,Blake Main,Chief Claims Officer,elevancehealth.com,map
Elevance Health,Chris Thomas,"Staff VP, Claims Operations",elevancehealth.com,map
Elevance Health,Cassie Evans,Director Medicare Claims,elevancehealth.com,map
Elevance Health,"Corrine Livesay, GBA","Director II, Claims; Stop Loss Business Unit",elevancehealth.com,map
Elevance Health,Holly Huffman,"Senior Director, Claims Operations",elevancehealth.com,map
Elevance Health,Diana Brooks,Staff Vice President - National Accounts Claims Operations - Anthem,elevancehealth.com,map
Elevance Health,Melissa Wise,"Vice President, Claims",elevancehealth.com,map
Elevance Health,Aimée Dailey,"President, Government Business",elevancehealth.com,map
Elevance Health,Natasha Lefear,"Staff VP, Government Business Encounters Operations",elevancehealth.com,map
Elevance Health,"Amy (Godby) Ledford, PMP, PAHM",State Medicaid Operations Director,elevancehealth.com,map
Elevance Health,Latisha Greene,Director II GBD Medicaid Appeals,elevancehealth.com,map
Elevance Health,Becky Harbottle,"Staff VP, Commercial Grievances and Appeals",elevancehealth.com,map
Elevance Health,Stephanie Barnes-Blue,Appeals & Grievance Director,elevancehealth.com,map
Elevance Health,Erin Bagniewski,Staff VP Implementation,elevancehealth.com,map
Elevance Health,Kathy Talnose,"Staff Vice President, Operations and Execution",elevancehealth.com,map
Elevance Health,Lee Napier,"Staff VP, Corporate Shared Services IT",elevancehealth.com,map
Elevance Health,Francisco Escobedo,"Sr. Director, Business Systems Architecture",elevancehealth.com,map
Elevance Health,"Marla K. Wilson, MBA",Vice President Provider Data Solutions,elevancehealth.com,map
Elevance Health,Kristine Smith (Huot),"Staff VP, Enablement Office, Provider Data Solutions",elevancehealth.com,map
Elevance Health,"Laxmi Sharma - PMP, PAHM",Director - Provider Data Solutions and Programs,elevancehealth.com,map
Elevance Health,"Nicole Keating, MBA, CLP, CSA","Staff VP, Operations & Execution | Health Benefits Operations",elevancehealth.com,map
Elevance Health,Diedre Rutherford,"Director, Business Process Automation",elevancehealth.com,map
Elevance Health,Pamela Hursh,"Staff Vice President, Solution Shared Services",elevancehealth.com,map
Elevance Health,Rick Misch,Staff Vice President Commercial Billing and Collection Services,elevancehealth.com,map
Elevance Health,Carla Brawner,"Director II, Individual Enrollment & Billing Central and East Region",elevancehealth.com,map
Elevance Health,Traci G.,Staff Vice President Strategic Workforce Planning,elevancehealth.com,map
Elevance Health,Bob Sanderson,"Director, Operations Development and Planning",elevancehealth.com,map
Elevance Health,Tracy M.,"Staff VP, Payment Integrity",elevancehealth.com,map
Elevance Health,Amber Kanady,Staff Vice President Payment Integrity Financial Operations,elevancehealth.com,map
Carelon,"Shmeka Jones, MBA",Director of Operations,carelon.com,bench
Carelon,Deb Tappen,Regional Operations Director,carelon.com,bench
Carelon,justin santangelo,Regional Operations Director,carelon.com,bench
Carelon,Daniel Guasp,Director Of Operations,carelon.com,bench
Carelon,Tiffany Bachman,Care Management Operations Director,carelon.com,bench
Carelon,Karen Swanker,Claims Director,carelon.com,bench
Carelon,jodi mccall,Director claims and provider QI,carelon.com,bench
Carelon,Rhondale Henderson,Director of Claims & Customer Service,carelon.com,bench
Carelon,Jacklyn Rooney,Director of claims disbursements,carelon.com,bench
Carelon,Jodie Calvert,Director of Service Operations,carelon.com,bench
Elevance Health,Christopher Swigon,"Staff Vice President, Operations",elevancehealth.com,bench
Elevance Health,"Sara Voss, MPH","Staff Vice President, Operations",elevancehealth.com,bench
Elevance Health,Susan Keeling,"Staff VP, Financial Operations",elevancehealth.com,bench
Elevance Health,Shawn Simmons,"Staff VP, Global HR Operations",elevancehealth.com,bench
Elevance Health,Beth Franke,"Staff VP, Payment Integrity Special Investigations Unit",elevancehealth.com,bench
Elevance Health,Mary Sanguinetti,"Staff Vice President, Operations",elevancehealth.com,bench
Elevance Health,Kristian Wilson,"Staff Vice President, Data Mining and Overpayment Operations, Elevance Health",elevancehealth.com,bench
Elevance Health,Jeff Hammer,"Staff VP, Finance Operations",elevancehealth.com,bench
Elevance Health,JoAnn Perkins,"Staff VP, LG Segment Migrations and Process Improvement",elevancehealth.com,bench
Elevance Health,Michael Goodall,Staff VP Global Financial Operations,elevancehealth.com,bench
Elevance Health,"Trish Raines, PMP","Staff Vice President, Carelon Implementations",elevancehealth.com,bench
Elevance Health,Elizabeth Reyes,Vice President Operations,elevancehealth.com,bench
