account,full_name,title,domain,where
Centene,Chris Perry,Plan Chief Financial Officer,centene.com,bench
Centene,Christian E. Miller,Chief Financial Officer (North Carolina - Carolina Complete Health),centene.com,bench
Centene,Glenn Roberts,"VP, Health Plan CFO",centene.com,bench
Centene,Jeremy Peercy,"CFO, Health Plan",centene.com,bench
Centene,"Jerry Flannery, CPA","VP, Finance and CFO - Delaware First Health",centene.com,bench
Centene,Jimmy C.,Chief Operating Officer at Coordinated Care,centene.com,bench
Centene,"Jonathan Sokeye, CPA/MBA",Health Plan CFO,centene.com,bench
Centene,Kia Biller,Plan CFO,centene.com,bench
Centene,Marianna Spanos,"Executive in Residence & COO, Ambetter Health Solutions",centene.com,bench
Centene,Maurio Smith,"Chief Operating Officer, Centene Medicaid",centene.com,bench
Fidelity Investments,Emily Hawthorne,Chief Operations Officer,fidelity.com,map
Fidelity Investments,Barbara March,EVP Operations,fidelity.com,map
Fidelity Investments,Camille Calafiore Zaslau,"Senior Vice President, Cash Management and Money Movement Operations",fidelity.com,map
Fidelity Investments,Christopher O'Brien,"SVP, Head of Capacity Planning & Operations",fidelity.com,map
Fidelity Investments,Doug Coons,"Vice President, Workforce Optimization",fidelity.com,map
Fidelity Investments,Duc Nguyen,Head of Enterprise Workforce Planning - Corporate Services,fidelity.com,map
Fidelity Investments,Laurie Marshall,Head of Workforce Planning,fidelity.com,map
Fidelity Investments,Michelle Finamore,"SVP, Head of Operational Excellence & Creative",fidelity.com,map
Fidelity Investments,Brett Southall,Senior Director/Squad Leader - Business Process Improvement/Robotics Process Automation,fidelity.com,map
Fidelity Investments,Sudhakar Kanagarajan,"SVP, Head Of Brokerage Operations Technology",fidelity.com,map
Fidelity Investments,Maharaj Thankam,"CIO, Head of Fidelity Fund & Investment Operations Technology",fidelity.com,map
Fidelity Investments,Chiranjivi Lal,Director - Business Systems Analysis / Product Management / Squad Lead,fidelity.com,map
Fidelity Investments,Jaipal Chudasama,"Director, Defined Benefit Operations",fidelity.com,map
Fidelity Investments,Joyette Schneider,"Director, Defined Benefit Operations",fidelity.com,map
Fidelity Investments,Allyn Jones,"Head of Fidelity Health Implementation, Client Service and Operations",fidelity.com,map
Fidelity Investments,Amelia Volz,"Operations Director, Client Services",fidelity.com,map
Fidelity Investments,Amy Hansel,Head of Financial Operations,fidelity.com,map
Fidelity Investments,Anna Colombo,Head of HR/Payroll Client Service Operations,fidelity.com,map
Fidelity Investments,David Cannistraro,Vice President of Loan Operations,fidelity.com,map
Fidelity Investments,Bill Kraus,Senior Director Domestic and Stock Loan Operations,fidelity.com,map
Fidelity Investments,Brenton Sadowski,"Director, Loan Operations",fidelity.com,map
Fidelity Investments,Katie Haley Thomas,"VP, HR Operations",fidelity.com,map
Fidelity Investments,Lauren M.,Head of Billing Operations,fidelity.com,map
Fidelity Investments,Mark Wehner,"Vice President, Billing Operations and Accounts Receivable",fidelity.com,map
Fidelity Investments,Michelle Delamere,"Vice President, Line HR Operations",fidelity.com,map
Fidelity Investments,Syed Raza Razvi,Head of Global Fraud Detection Operations,fidelity.com,map
Fidelity Investments,Andrew Czuchra,"Director, Private Credit & Term Loan Operations",fidelity.com,map
Fidelity Investments,"Noah Rhodes, CFA","CFO, National Financial Services",fidelity.com,map
Fidelity Investments,Vicki Humston-Casas,"SVP, Head of Enterprise Finance Shared Services",fidelity.com,map
Fidelity Investments,Don Holborn,EVP Retirement Services,fidelity.com,map
Fidelity Investments,Kevin Barry,Chief Financial Officer,fidelity.com,bench
Fidelity Investments,Marty McGee,Head of Asset Management Line Finance and Board Finance Oversight; CFO of Fidelity Inst'l Asset Mgt,fidelity.com,bench
Fidelity Investments,Mike Pegnato,"COO, Fidelity Personal Trust Company",fidelity.com,bench
Fidelity Investments,Pankaj Shetye,Director Business Management/COO,fidelity.com,bench
Fidelity Investments,Brian Blalock,"SVP, Head of Healthcare Operations",fidelity.com,bench
Fidelity Investments,Charlotte McPherson,SVP/Head of Middle Office Operations,fidelity.com,bench
Fidelity Investments,Christine Selmi,Senior Vice President Operations,fidelity.com,bench
Fidelity Investments,Daniel Tobin,Senior Vice President National Operations,fidelity.com,bench
Fidelity Investments,Geoff Sullivan,Senior Vice President Operations,fidelity.com,bench
Fidelity Investments,James Patrick Nugent CPA CFA,SVP - Retirement Services,fidelity.com,bench
Fidelity Investments,Jessica Henck,"SVP, Head of Global Workforce Optimization",fidelity.com,bench
Fidelity Investments,Kim Cummins,SVP: WI Operations--Organizational Performance,fidelity.com,bench
National Grid,Chris McConnachie,CFO - New York,nationalgridus.com,map
National Grid,Christina Bostic,VP of Billing & Collections,nationalgridus.com,map
National Grid,Jeffrey Koenig,Director - US Collections and Payment Processing,nationalgridus.com,map
National Grid,Kaitlin Taylor,"VP, Controller & FP&A - New England",nationalgridus.com,map
National Grid,Andrew Harju,"Director, Finance Transformation",nationalgridus.com,map
National Grid,Efy Knoell,Director NY Financial Planning & Analysis,nationalgridus.com,map
National Grid,Howard Kamensky,"Director, Finance Operations",nationalgridus.com,map
National Grid,Matthew Barnett,Chief Operating Officer,nationalgridus.com,map
National Grid,Tom LaVeck,"Global Head of Payroll, Rewards and Time",nationalgridus.com,map
National Grid,James MacVicar,Director Of Workforce Management,nationalgridus.com,map
National Grid,Nathaniel Standish,"CFO, National Grid Ventures U.S.",nationalgridus.com,map
National Grid,Shri Madhusudhan,"Chief Administrative Officer, NY",nationalgridus.com,map
National Grid,Kevin Knapp,SVP US Supply Chain,nationalgridus.com,map
National Grid,Bryan M.,Head of Program Procurement and Business Partner,nationalgridus.com,map
National Grid,David Butler,"Senior Director | Procurement, Vendor Management & MSP Governance",nationalgridus.com,map
National Grid,"Paul McCool, CPSM","Director, Program Procurement - NGV",nationalgridus.com,map
National Grid,Philippe Montillier,Director - Global Procurement Planning,nationalgridus.com,map
National Grid,Nicola Rigby White,Vice President US Procurement,nationalgridus.com,map
National Grid,Erik Molinaro,"VP, Head of Customer Operations (Kraken Program)",nationalgridus.com,map
National Grid,Matt Barber,Head of US Service Operations,nationalgridus.com,map
National Grid,Bill Malee,Chief Customer Officer,nationalgridus.com,bench
National Grid,Celeste Schneider,Chief People Officer,nationalgridus.com,bench
National Grid,Charles McLeod,"Chief Financial Officer, New York",nationalgridus.com,bench
National Grid,Douglas Stein,"Chief Financial Officer, New England",nationalgridus.com,bench
National Grid,Eric Brouker,Chief Hot Stick Lineman,nationalgridus.com,bench
National Grid,Sam Dunton,"VP of Finance, CFO of Global Group Functions",nationalgridus.com,bench
National Grid,Steve Bowman,"chief ""hs""",nationalgridus.com,bench
National Grid,Brian McNaughton,Director STREAMS Work Planning & Resourcing,nationalgridus.com,bench
National Grid,Endrit Fiku,Director of Customer Meter Services,nationalgridus.com,bench
National Grid,Griffin Reilly,Finance Director,nationalgridus.com,bench
National Grid,James (Jim) Reynolds  MBA,Global Finance Director,nationalgridus.com,bench
National Grid,James Brennan,"Director, Finance Data and Reporting Office",nationalgridus.com,bench
Truist,Barry Fowler,CFO Corporate Functions,truist.com,map
Truist,Jennifer Buck,"SVP, Director of Accounting Operations",truist.com,map
Truist,"Geneise Taylor, MBA , MSSF","VP, Accounting Operations",truist.com,map
Truist,Mike Harpole,SVP Treasury & Wholesale Payments Manager II,truist.com,map
Truist,Karla Campbell,"VP, Treasury Services Change Integration Manager",truist.com,map
Truist,Martin Wood,CFO - Consumer Lending,truist.com,map
Truist,Michael Maguire,Chief Financial Officer,truist.com,map
Truist,Kris Socie,Senior Vice President / Credit Disputes Senior Leader at Truist,truist.com,map
Truist,Ruthanna Birchfield,"Senior Vice President, Credit Operations Manager - CIB Credit Delivery",truist.com,map
Truist,Shea S.,"Fraud Manager, SVP",truist.com,map
Truist,"Paul W Barnes, Jr.","Director of HR Shared Services, Executive Vice President",truist.com,map
Truist,Beth Tilley,Vice President- Director of Post Closing and Shared Services,truist.com,map
Truist,"Merwyn Fraser MBA, CCP, CEBS","Managing Director, HR Operations",truist.com,map
Truist,"Christine Herman, PMP, SCPM, CSM",Director of CRA Experience and Operations,truist.com,map
Truist,Alison Lyewski,"Senior Vice President, Payment Operations",truist.com,map
Truist,Yolanda Daniel,"AVP, Treasury Payment & Solutions Administration, Treasury Operations",truist.com,map
Truist,"Joel Davis, MBA","Senior Vice President, Head of Mortgage Early-Stage Default Operations",truist.com,map
Truist,Elisabeth Francoise Ntolo,"HTBE Loan Administration, Vice President",truist.com,map
Truist,Karen Weich,"SVP, Head of Agency Services and Loan Trading Operations",truist.com,map
Truist,Dana M. Wilson,Vice President - Foreign Exchange Settlements Operations Manager - Capital Market Ops,truist.com,map
Truist,Mary Grose Honaker,"SVP, Operational Excellence Manager",truist.com,map
Truist,Ashley Jameson,Vice President - Workforce Management,truist.com,map
Truist,Paige Langston-Tedder,Director of Workforce Planning and Operations,truist.com,map
Truist,Chad Campbell,Business Systems and Support | Vice-President,truist.com,map
Truist,Dino Harapas,Head of Strategic Workforce Planning and Business Insights,truist.com,map
Truist,Nick Patriciu,Head of Strategic Workforce Planning,truist.com,map
Truist,Nick Isbrandtsen,Senior Vice President - Operational Excellence,truist.com,map
Truist,Nina Jordan Boynton,"SVP, Head of Transformation Process Optimization",truist.com,map
Truist,Shannon Aycock,SVP | Head of Credit Card Solutions & Service Delivery | Enterprise Operations,truist.com,map
Truist,Chris Moore,"VP, Technical Service Delivery Manager",truist.com,map
Truist,Alex Coleman,CFO - Commercial & Corporate Banking,truist.com,bench
Truist,Erin Ritter,CFO Truist Asset Finance,truist.com,bench
Truist,Kristy Monk,"CFO Tech, Data, & Ops for CSBB & Wholesale",truist.com,bench
Truist,Michael Slain,Chief Financial Officer,truist.com,bench
Truist,Musselwhite. Virginia,COO Governance Lead,truist.com,bench
Truist,"Thomas Herbert, Jr.","LOB CFO, Small Business Banking",truist.com,bench
Truist,Tim Bicha,Head of Mortgage Servicing - EVP,truist.com,bench
Truist,Allen Shealey,SVP - Senior Operations Manager,truist.com,bench
Truist,Amanda E. Wolfe Head of CTO Business Management and Operations,SVP Head of CTO Business Management & Operations,truist.com,bench
Truist,Anne Clark,Senior Vice President Operations,truist.com,bench
Truist,Brian Kurlander,"SVP, Strategic Operations Director",truist.com,bench
Truist,Chris Lee,SVP Head of Default Operations,truist.com,bench
Paychex,Scott Buffington,"Head of Retirement Services | President, Paychex Retirement, LLC | President, Paychex Sec. Corp.",paychex.com,map
Paychex,"Bob Schrader, CPA, MBA",Senior Vice President and Chief Financial Officer,paychex.com,map
Paychex,James Besio,"Sr. Director, Management Solutions Financial Planning",paychex.com,map
Paychex,Glynn Frechette,Head of Paychex PEO,paychex.com,map
Paychex,"Dawn Ehrhart - CPP, SHRM-CP",Director PEO Service,paychex.com,map
Paychex,Jerry Rook,"Director Financial Planning & Analysis, PEO",paychex.com,map
Paychex,Greg Magee,"Head of Service Operations, SurePayroll by Paychex",paychex.com,map
Paychex,Kimball Dean Parker,Head of Operations,paychex.com,map
Paychex,Anne Dwyer,"Senior Director, Product Operations",paychex.com,map
Paychex,Dan Jones,Director CA Operations,paychex.com,map
Paychex,Douglas Baxter,"Director, Financial Operations",paychex.com,map
Paychex,Dustin Reding,401(k)/S125 Director,paychex.com,bench
Paychex,Kris Giardino,Director of Financial Planning and Analysis,paychex.com,bench
Paychex,Marcia Paulick,"Director, HCM Mid-Market HR Solutions Service & Implementation",paychex.com,bench
Paychex,Mark Bellavia,Financial Planning and Analysis - Director,paychex.com,bench
Regions Financial,Dave Keenan,Chief Administrative Officer (CAO),regions.com,map
Regions Financial,Franklin Danley,"Executive Vice President, Head of Payment Operations",regions.com,map
Regions Financial,Matt Powell,EVP Head of Enterprise Operations and Fraud Management,regions.com,map
Regions Financial,Angela Wiegert,"SVP, Finance Manager, Enteprise Operations and Fraud Management",regions.com,map
Regions Financial,Daniel Nicol,SVP Manager Consumer & Small Business Collections and Recovery,regions.com,map
Regions Financial,Don ONeill,"Vice President, Consumer Collections",regions.com,map
Regions Financial,Denise Schott,"SVP, Head of Enterprise Fraud Operations",regions.com,map
Regions Financial,Hunt Prothro,"SVP, Fraud Prevention Manager",regions.com,map
Regions Financial,Jami Myers,"SVP, Head of Enterprise Operations & Fraud Management Governance",regions.com,map
Regions Financial,Adrian Isbell,"SVP, Head of Money Transfer Operations",regions.com,map
Regions Financial,Steve Killough,Vice President - Procurement Operations - Supply Chain,regions.com,map
Regions Financial,Benjamin Morgan,"Senior Vice President, EDD Operations Manager",regions.com,map
Regions Financial,"Cassaundra Franklin, CAMS, AMLP",SVP/Manager of BSA Operations,regions.com,map
Regions Financial,Dawn Graben,"SVP, Card Operations at Regions Bank",regions.com,map
Regions Financial,Marc Mullins,Head of Treasury Management Operations & Products,regions.com,map
Regions Financial,Hunter A.,SVP | Enterprise Operations,regions.com,map
Regions Financial,Kathy Bond,SVP Mortgage Servicing,regions.com,map
Regions Financial,David Quiroz,"VP, Mortgage Acquisitions, Database Reporting, Loan Servicing Manager",regions.com,map
Regions Financial,Eddie Englebert,Vice President - Loan Operations,regions.com,map
Regions Financial,Mike Deatrick,Senior Vice President Business Operations,regions.com,map
Regions Financial,Rob Manning,SVP - Deposit and Document Output (DDO) Operations Administration,regions.com,map
Regions Financial,Helen Lee,Vice President - Client Services Manager,regions.com,map
Regions Financial,Michael Petras,"Vice President, Account Solutions, Business Systems Manager",regions.com,map
Regions Financial,James Hicks,"Head of Treasury Services, EVP",regions.com,map
Regions Financial,Ben Jackson,"SVP, CFO for Consumer Lending",regions.com,map
Regions Financial,Cheryl Lloyd,SVP Treasury Accounting and Operations,regions.com,map
Regions Financial,Lee Parr,Vice President - Accounting Manager in Accounting Operations,regions.com,map
Regions Financial,Janice Ray,AVP - Accounting Operations Manager,regions.com,map
Regions Financial,William M. Blagg,"Financial Crimes Unit Operations Manager, VP",regions.com,map
Regions Financial,"Wakeela Riley, AMP","SVP, Consumer Lending Accounting Operations & Financial Reporting Group Manager",regions.com,map
Regions Financial,Anil Chadha,Chief Financial Officer,regions.com,bench
Regions Financial,"Joe Garcia, CFA, CPA",Chief Financial Officer,regions.com,bench
Regions Financial,Martin Statkewicz,CFO Consumer Banking Division,regions.com,bench
Regions Financial,Rita Young,CFO Consumer Banking Division,regions.com,bench
Regions Financial,"Brad Beckman, MBA","EVP, CFO Corporate Banking Group",regions.com,bench
Regions Financial,Mike Amrine,"Executive Vice President, Head of Deposit and Document Operations",regions.com,bench
Regions Financial,Tabitha Leech,"Executive Vice President, Business Process Management",regions.com,bench
Regions Financial,"Preston Suggs, MBA, POPM, LSSGB",SVP - ATM Business Systems Manager II,regions.com,bench
Regions Financial,Bryson Wolff,"Vice President, Business Process Management",regions.com,bench
Regions Financial,"Chris “Doc” Pettingill, MBA","Continuous Improvement, VP",regions.com,bench
Regions Financial,Dallas McLellan,VP Production Database Operations,regions.com,bench
Regions Financial,Diane Hill,Vice President of Operations,regions.com,bench
