Full Name,Job Title,Company,LinkedIn Profile
Benedita Miranda,Chief Operating Officer EMEA,Foundever,https://www.linkedin.com/in/beneditamiranda/
Edmona Popa,Director of Operations,Foundever,https://www.linkedin.com/in/edmona-popa-55a7a813/
Eppie Titong III,Chief Operating Officer - APAC,Foundever,https://www.linkedin.com/in/eppie-titong-iii-02b8079/
Mike Corrigan,Chief Operations Officer - Americas,Foundever,https://www.linkedin.com/in/mike-corrigan-602b3421/
Mohamed Yassin El Harruchi,Director of Operations,Foundever,https://www.linkedin.com/in/mohamed-yassin-el-harruchi-6981b522/
Olivier Camino,Global COO,Foundever,https://www.linkedin.com/in/olivier-camino-a7a6056b/
Ericka Leslie,Chief Operating Officer of Global Banking and Markets,Goldman,https://www.linkedin.com/in/ericka-leslie-4796911/
Gizelle George-Joseph,"Chief Operating Officer, Goldman Sachs Research",Goldman,https://www.linkedin.com/in/gizelle-george-joseph-9a127319/
John Waldron,President and Chief Operating Officer,Goldman,https://www.linkedin.com/in/johnewaldron/
Pilar López-Aranguren Velarde,"Directora de Compliance para Iberia, España, Portugal, Andorra. Chief Operating Officer.",Goldman,https://www.linkedin.com/in/pilar-lã³pez-aranguren-velarde-65b27ab/
Priyanka Jain,Executive Director & COO,Goldman,https://www.linkedin.com/in/priyanka-singla-/
Micah Heavener,Head of Operations,Goldman,https://www.linkedin.com/in/micah-heavener-064ba55/
Caleb Gallifant,"Chief Operating Officer, CenterWell Home Health",Humana,https://www.linkedin.com/in/caleb-gallifant-2b030772/
Cassie Houff,Subsidiary COO - OneHome,Humana,https://www.linkedin.com/in/cassiegochenaur/
David McGettigan,SVP and Chief Operating Officer Technology,Humana,https://www.linkedin.com/in/david-mcgettigan-9a03798/
Derrick Lee,Chief Operations Officer,Humana,https://www.linkedin.com/in/derrick-lee-ms-mba-crc-20a180103/
Jennifer LaPerre,"COO, Humana Healthy Horizons in Oklahoma",Humana,https://www.linkedin.com/in/jenniferlaperre/
Lisa Stephens,Senior Vice President Operations,Humana,https://www.linkedin.com/in/lisa-stephens-6b449982/
Jake Harris,Strategy - Global Technology COO,JPMorgan,https://www.linkedin.com/in/jake-harris-ab9b7416a/
John McGinley,Managing Director - Global Real Estate COO and Head of the Americas,JPMorgan,https://www.linkedin.com/in/john-mcginley-2022a42b/
Joseph Claricurzio,Chief Operating Officer for CCB Risk,JPMorgan,https://www.linkedin.com/in/joseph-claricurzio-50137b9/
Kevin Finn,Chief Operations Officer & Head of Service. JPMorgan Wealth Management,JPMorgan,https://www.linkedin.com/in/kevin-finn-9a17551/
Ozma Khan,APAC Private Bank - Chief Operating Officer,JPMorgan,https://www.linkedin.com/in/ozma-khan-a203808/
Vicki Perryman,Senior Vice President - Chief Operating Officer - Wachovia Direct Access,JPMorgan,https://www.linkedin.com/in/vicki-perryman-0508125/
Anam K.,Chief Operations Officer,MetLife,https://www.linkedin.com/in/anam-k-89615284/
Nicolas Lance,"COO (Interim) - Head of Enterprise Strategy, Integration and Transformation - Western Europe & India",MetLife,https://www.linkedin.com/in/nicolaslance-coo-insurance/
Olivia Sarah-Le Lacheur,Chief Operating Officer,MetLife,https://www.linkedin.com/in/oliviasarahlelacheur/
Christen White,Senior Vice President Operations,MetLife,https://www.linkedin.com/in/christen-white-4b774a62/
Javier Martin Almohalla,Head of Operations Iberia,MetLife,https://www.linkedin.com/in/javiermartinalmohalla/
Zeid Khamash,Head of Operations,MetLife,https://www.linkedin.com/in/zeid-khamash-acs-almi-87998726/
Dave Reynolds,"Executive Vice President, Health Plans & Medicaid Chief Operating Officer",Molina,https://www.linkedin.com/in/dave-reynolds-25a0204/
Jennifer Brown,Director of Operations,Molina,https://www.linkedin.com/in/jennifer-brown-she-her-hers-453b673b/
Josiah Mooney,Market COO,Molina,https://www.linkedin.com/in/josiahmooney/
Malik P.,Sr. Director of Operations and Program Management - Marketplace,Molina,https://www.linkedin.com/in/malikprabu/
Nicole Basham,Vice President and Chief Operating Officer Health Plan Operations,Molina,https://www.linkedin.com/in/nicole-basham-2b172513/
Sweeny Bansal,"Chief Operating Officer | Vice President | Health Plan Operations, Virginia",Molina,https://www.linkedin.com/in/sweenybansal/
Brooke Schwerdt,Director Agile Coach and Business Improvements - Cyber Security and Defense Portfolio and COO,Prudential,https://www.linkedin.com/in/brooke-schwerdt-spc6-enterprise-agile-coach-and-leader-490b41b/
John Sieb,Business Head and COO - Long Term Care,Prudential,https://www.linkedin.com/in/john-sieb-0a124815/
Joseph M. Hayes,Senior Vice President & Chief Operating Officer : Group Insurance,Prudential,https://www.linkedin.com/in/jmh1766/
Paul Parseghian,"Managing Director, Head of Operations and Systems",Prudential,https://www.linkedin.com/in/paul-parseghian-597b166/
Scott Haggerty,"VP & Chief Operating Officer, Prudential Annuities",Prudential,https://www.linkedin.com/in/scott-haggerty-a8a2182/
Todd Shriber,Chief Operating Officer & Head of Strategy - Global Retirement & Insurance,Prudential,https://www.linkedin.com/in/todd-shriber-cfa-a239156/
Kelsey Alrick,Senior Director of Operations,Synchrony,https://www.linkedin.com/in/kelsey-alrick-a41534104/
Paula Stills,Director Of Operations,Synchrony,https://www.linkedin.com/in/paula-stills-970514192/
Birdell Lewis,Senior Vice President Operations and Centralized Share Services,Synchrony,https://www.linkedin.com/in/birdell-lewis-38702b5/
Celine Paloma-Gonzales,Senior Vice President Operations,Synchrony,https://www.linkedin.com/in/celine-paloma-gonzales-2078b757/
Edwin Matulin,Senior Vice President Operations,Synchrony,https://www.linkedin.com/in/edwin-matulin-40a1a5/
Franklin Augusto Barrameda,Senior Vice President Operations,Synchrony,https://www.linkedin.com/in/franklin-augusto-barrameda-7654602a/
Darren Hodges,"SVP and Chief Operations Officer, Wealth Management and Investment Services",US Bancorp,https://www.linkedin.com/in/darren-hodges-4952195/
Karen Kervin,Director of Operations,US Bancorp,https://www.linkedin.com/in/karen-kervin-58b3546/
Ken Somerville,Chief Operations Officer,US Bancorp,https://www.linkedin.com/in/ken-somerville-4066175/
Toby Clements,Chief Operations Officer,US Bancorp,https://www.linkedin.com/in/toby-clements-a48a719/
Justin F.,Senior Vice President Operations,US Bancorp,https://www.linkedin.com/in/justinfletcher/
Jagvinder S.,Head of Operations Transformation  Europe,US Bancorp,https://www.linkedin.com/in/jagvinder/
A.J. Goycochea,"Director of Operations, Office of Data & Analytics",UnitedHealthcare,https://www.linkedin.com/in/a-j-goycochea-nremt-15b4a065/
Amy W.,Director of Operations,UnitedHealthcare,https://www.linkedin.com/in/amyweiser1/
Michael Baker,Chief Operating Officer,UnitedHealthcare,https://www.linkedin.com/in/michael-baker-0562535/
Michael Santoro,Chief Operating Officer - UnitedHealthcare Strategic Platform,UnitedHealthcare,https://www.linkedin.com/in/michael-santoro-08969951/
Seth Jeremy Katz,Chief Operating Officer,UnitedHealthcare,https://www.linkedin.com/in/seth-jeremy-katz-mph-rhia-8b51ab13/
Anshul Jain,EVP Managing Director - COO Controls,Wells Fargo,https://www.linkedin.com/in/anshul-jain-%e2%98%85-chief-risk-officer-3073707/
GopalaKrishna Sakamuri,Executive Director - Independent Testing & Validation - COO,Wells Fargo,https://www.linkedin.com/in/gopalakrishnasakamuri/
Kyle Slead,Lending Operations Director,Wells Fargo,https://www.linkedin.com/in/kyleslead/
Scott Powell,Chief Operating Officer,Wells Fargo,https://www.linkedin.com/in/scott-powell-27176310/
Todd Schneider,Chief Operating Officer Wholesale Tax Operations,Wells Fargo,https://www.linkedin.com/in/todd-schneider-5a96a06b/
